,disk,component,iou
0,3.0,30000.0,0.8815517026637179
0,3.0,50000.0,0.8815517026637179
0,3.0,70000.0,0.8778404540001651
0,3.0,90000.0,0.8274286063719551
0,6.0,30000.0,0.9150141240428649
0,6.0,50000.0,0.9203070455627065
0,6.0,70000.0,0.9088709009973975
0,6.0,90000.0,0.8559590734628203
0,9.0,30000.0,0.8916670760902459
0,9.0,50000.0,0.9104236870498537
0,9.0,70000.0,0.8986868472896458
0,9.0,90000.0,0.8591029418928012
0,12.0,30000.0,0.8594487671648658
0,12.0,50000.0,0.8782658138495453
0,12.0,70000.0,0.8714388613469107
0,12.0,90000.0,0.8419347897664607
